title,brand,category,actual_price,discount_price,rating,rating_count
4K Action Camera,OnePlus,Monitor,3414,298,4.2,8115
Portable Bluetooth Speaker,Mi,Monitor,26802,25311,3.5,287
Portable Bluetooth Speaker,Samsung,Camera,50068,48951,1.6,3195
Smart Fitness Watch,Sony,Smartphone,48428,44155,3.8,18376
Laptop with SSD Storage,Apple,Tablet,20328,17355,3.7,7450
High Resolution Monitor,JBL,Smartphone,55865,51562,1.1,2925
Smart Fitness Watch,JBL,Tablet,35633,31727,2.6,14515
Android Tablet,JBL,Smartwatch,3474,2598,2.3,17504
Smart Fitness Watch,Boat,Laptop,35698,31041,3.7,5310
Smartphone with AMOLED Display,JBL,Headphones,36229,32194,1.9,16830
Smartphone with AMOLED Display,Sony,Camera,4621,2479,3.4,11760
High Resolution Monitor,Samsung,Laptop,55721,52492,4.7,14896
4K Action Camera,JBL,Camera,72935,68347,4.2,19280
Laptop with SSD Storage,HP,Tablet,24060,20109,4.7,17105
High Resolution Monitor,HP,Smartphone,11660,9248,4.9,18547
Portable Bluetooth Speaker,Boat,Monitor,10613,8339,1,10774
Noise Cancelling Earbuds,Sony,Smartwatch,6101,4325,3.5,15457
Laptop with SSD Storage,Samsung,Smartwatch,14430,12374,2.7,9543
Laptop with SSD Storage,Apple,Speaker,14571,14255,4.4,3980
Portable Bluetooth Speaker,OnePlus,Headphones,16375,15488,2,11576
Portable Bluetooth Speaker,Samsung,Smartwatch,19284,14650,4.9,18109
Wireless Bluetooth Headphones,OnePlus,Monitor,61242,56395,3.5,3413
High Resolution Monitor,Mi,Smartphone,13161,12425,4.2,494
Portable Bluetooth Speaker,OnePlus,Headphones,71676,68265,1.3,947
Smartphone with AMOLED Display,LG,Tablet,61547,61141,1.7,
Android Tablet,HP,Laptop,69401,65536,4,1128
Noise Cancelling Earbuds,Sony,Tablet,21277,20356,1.1,13986
High Resolution Monitor,Dell,Monitor,50917,48894,4.3,16161
Gaming Laptop,Boat,Monitor,57773,53076,1.1,16160
Smartphone with AMOLED Display,LG,Smartwatch,73202,71342,3.6,16941
4K Action Camera,OnePlus,Headphones,15930,11462,2.5,9808
Portable Bluetooth Speaker,JBL,Smartphone,20356,17665,3.4,6998
Gaming Laptop,Sony,Tablet,7682,5404,3.8,7182
Portable Bluetooth Speaker,LG,Speaker,56039,52598,2.4,18040
Laptop with SSD Storage,Boat,Tablet,48939,44711,1.4,8998
Smartphone with AMOLED Display,HP,Camera,60138,57738,1.3,3312
Laptop with SSD Storage,Sony,Camera,46341,41934,3.4,13329
Wireless Bluetooth Headphones,Boat,Smartphone,1292,904.4,3.1,15802
Laptop with SSD Storage,Mi,Smartphone,72694,69905,4,11167
Wireless Bluetooth Headphones,Mi,Camera,67957,65177,3,2324
Wireless Bluetooth Headphones,Boat,Speaker,27460,26092,2.7,9639
Gaming Laptop,LG,Headphones,45456,43871,2.6,13338
Portable Bluetooth Speaker,Sony,Camera,51675,46841,1.1,10753
4K Action Camera,LG,Smartphone,19872,17379,2.3,5984
Laptop with SSD Storage,Apple,Smartwatch,4436,2614,4.9,18895
Smartphone with AMOLED Display,OnePlus,Laptop,62168,58909,4.5,15142
Wireless Bluetooth Headphones,Apple,Speaker,32467,27483,2.3,11063
Portable Bluetooth Speaker,Mi,Monitor,15779,14852,3.4,362
Noise Cancelling Earbuds,HP,Speaker,31676,28756,4.4,3454
High Resolution Monitor,Samsung,Smartwatch,5123,1873,2.8,19182
Gaming Laptop,OnePlus,Smartwatch,70756,66562,1.1,3255
4K Action Camera,Mi,Monitor,19885,16088,1.3,17601
Smart Fitness Watch,LG,Tablet,17572,14686,3,17869
Gaming Laptop,LG,Smartphone,26919,26577,4.9,5349
Noise Cancelling Earbuds,LG,Camera,75369,73668,3.8,7195
High Resolution Monitor,HP,Tablet,40195,35514,1.3,10047
Noise Cancelling Earbuds,Apple,Headphones,4020,2814,1.8,7750
Laptop with SSD Storage,Samsung,Speaker,19567,18981,4.1,9399
Wireless Bluetooth Headphones,LG,Monitor,15996,13260,4.4,13686
4K Action Camera,Dell,Speaker,30268,29985,3.5,8035
Android Tablet,OnePlus,Tablet,53664,50962,3.6,1507
Wireless Bluetooth Headphones,Sony,Smartwatch,23645,21221,1.1,17387
Android Tablet,Dell,Camera,51867,49545,4.3,14776
High Resolution Monitor,Samsung,Speaker,61907,60891,4.2,17309
Portable Bluetooth Speaker,HP,Headphones,19685,18746,2,6583
Smart Fitness Watch,Samsung,Smartwatch,67200,63287,3.8,3927
Smartphone with AMOLED Display,Sony,Headphones,68544,65094,1.9,17369
Wireless Bluetooth Headphones,OnePlus,Camera,65725,65641,1.2,15797
4K Action Camera,Sony,Speaker,78818,74226,1.8,4231
Noise Cancelling Earbuds,Boat,Laptop,33219,29646,1.7,5302
4K Action Camera,OnePlus,Tablet,57496,55683,2.4,5291
High Resolution Monitor,Samsung,Speaker,79701,76360,2.7,908
Android Tablet,LG,Tablet,795,556.5,3,15123
Noise Cancelling Earbuds,Samsung,Camera,45055,42305,2.9,12877
Smartphone with AMOLED Display,Samsung,Speaker,67984,66376,2.1,14239
Smartphone with AMOLED Display,OnePlus,Tablet,33624,28884,1.1,2586
Wireless Bluetooth Headphones,Boat,Monitor,79229,76903,3.4,9335
High Resolution Monitor,Samsung,Tablet,1852,1296.4,2.6,15640
Portable Bluetooth Speaker,Dell,Speaker,51572,47083,2.2,17715
High Resolution Monitor,Mi,Smartphone,36153,35000,4.5,10534
Android Tablet,JBL,Speaker,33224,31755,4,1806
4K Action Camera,JBL,Speaker,74762,73234,,10292
Smartphone with AMOLED Display,Samsung,Tablet,24189,20225,3,17189
4K Action Camera,Dell,Headphones,54975,51183,1.5,10967
4K Action Camera,LG,Laptop,73891,70885,3.8,16455
4K Action Camera,HP,Headphones,70490,69058,1.8,27
Smartphone with AMOLED Display,HP,Tablet,22934,20310,2.8,8660
Gaming Laptop,OnePlus,Headphones,32663,29229,1.3,7055
Laptop with SSD Storage,JBL,Smartwatch,64052,62433,4.3,9616
Android Tablet,Samsung,Smartphone,77304,75360,1.5,10440
Gaming Laptop,HP,Headphones,56698,54405,4.6,3832
Android Tablet,Samsung,Monitor,41018,39102,4.5,15970
Noise Cancelling Earbuds,OnePlus,Camera,27170,27092,2.9,13107
High Resolution Monitor,JBL,Monitor,37694,36939,4,13777
High Resolution Monitor,Sony,Camera,52357,51287,3.5,15954
Smart Fitness Watch,Mi,Speaker,13316,11203,4.2,16943
High Resolution Monitor,Mi,Smartwatch,42437,40941,2.7,7957
Smartphone with AMOLED Display,HP,Smartphone,453,317.1,4.1,12666
Portable Bluetooth Speaker,Mi,Monitor,8153,5116,2.8,10110
Wireless Bluetooth Headphones,Sony,Smartphone,12679,9027,4.8,7344
Smart Fitness Watch,Samsung,Monitor,16092,12357,2.9,16462
Wireless Bluetooth Headphones,OnePlus,Speaker,38667,35249,2.9,13696
Android Tablet,Sony,Camera,18400,14769,4.1,1031
Wireless Bluetooth Headphones,OnePlus,Laptop,63756,60944,4.3,18456
Wireless Bluetooth Headphones,OnePlus,Smartwatch,11349,7262,3.2,15090
Smart Fitness Watch,JBL,Monitor,1086,464,1.7,15816
Noise Cancelling Earbuds,Samsung,Monitor,70204,66066,2.9,17868
4K Action Camera,Dell,Speaker,30999,30335,4.9,10437
High Resolution Monitor,Mi,Smartwatch,47991,43891,4,15453
High Resolution Monitor,Dell,Camera,37340,36965,4.2,14258
Smartphone with AMOLED Display,JBL,Camera,58286,54496,1.1,1550
Smart Fitness Watch,OnePlus,Monitor,39062,38654,2.9,12977
Smartphone with AMOLED Display,HP,Laptop,23900,20073,3.6,4682
Portable Bluetooth Speaker,Mi,Laptop,20110,17689,4.3,14439
Portable Bluetooth Speaker,Mi,Smartphone,57504,55733,1.2,18213
Smartphone with AMOLED Display,Samsung,Smartwatch,20385,18986,4.4,3751
Smart Fitness Watch,Boat,Smartwatch,47154,43408,3.2,12914
Smartphone with AMOLED Display,Apple,Camera,75097,71151,1.8,10223
High Resolution Monitor,Apple,Smartphone,40079,35769,2.3,15398
Gaming Laptop,Apple,Speaker,56507,54861,2.1,6601
Laptop with SSD Storage,Boat,Smartwatch,34280,32603,3.1,3856
Wireless Bluetooth Headphones,Samsung,Smartphone,56417,53865,1.2,12661
Laptop with SSD Storage,Boat,Smartphone,14441,10583,1.6,15591
Smart Fitness Watch,Apple,Monitor,9644,9402,4.3,6182
Laptop with SSD Storage,JBL,Camera,16196,13472,1.5,7970
Portable Bluetooth Speaker,Sony,Smartphone,30113,26218,1.9,15154
Android Tablet,OnePlus,Tablet,65979,63352,2.8,2094
Wireless Bluetooth Headphones,Boat,Laptop,10981,10840,3.1,12095
4K Action Camera,Samsung,Tablet,73203,68919,4.1,19416
Smart Fitness Watch,Samsung,Laptop,3528,2998,2.8,13672
Wireless Bluetooth Headphones,Dell,Headphones,4882,1916,4.2,17932
Laptop with SSD Storage,Sony,Camera,78983,74498,3.5,14228
Portable Bluetooth Speaker,HP,Monitor,11697,10572,1.5,8559
Noise Cancelling Earbuds,Mi,Speaker,39099,36536,1.6,64
Gaming Laptop,Apple,Tablet,37311,36463,2.7,3299
4K Action Camera,HP,Tablet,79483,74863,2.6,4849
Gaming Laptop,Dell,Headphones,44564,40565,4,5639
Wireless Bluetooth Headphones,Apple,Laptop,42617,41963,3.3,18419
Portable Bluetooth Speaker,Sony,Monitor,48214,45185,2.6,11055
Portable Bluetooth Speaker,Dell,Headphones,45554,40588,1.7,18612
Laptop with SSD Storage,Apple,Camera,40396,39749,1.9,16980
High Resolution Monitor,Sony,Monitor,54085,52503,3.3,19990
Laptop with SSD Storage,LG,Camera,52644,52081,2.7,10866
High Resolution Monitor,HP,Smartphone,68846,66919,3.1,3889
High Resolution Monitor,HP,Smartwatch,71391,67369,1.7,19890
4K Action Camera,Mi,Smartphone,65903,62010,3.7,15458
Laptop with SSD Storage,Sony,Camera,28712,26963,4.4,17779
Noise Cancelling Earbuds,Boat,Tablet,51958,50879,2,452
Smartphone with AMOLED Display,LG,Monitor,49849,45204,3,10995
Smartphone with AMOLED Display,JBL,Laptop,11849,11083,4.9,2631
Laptop with SSD Storage,Apple,Speaker,71516,67380,2.3,2186
Laptop with SSD Storage,LG,Laptop,26039,25324,3.4,5967
Gaming Laptop,Sony,Monitor,21509,19251,1.4,4348
4K Action Camera,OnePlus,Smartphone,15416,14287,3.4,1459
Laptop with SSD Storage,Apple,Speaker,20345,20068,1.4,1942
Gaming Laptop,Samsung,Monitor,26627,26429,4.8,14896
High Resolution Monitor,HP,Camera,36009,34890,,14407
Portable Bluetooth Speaker,Sony,,43917,39140,4.2,15622
Portable Bluetooth Speaker,Samsung,Laptop,60439,59026,3.8,14557
High Resolution Monitor,Mi,Camera,27205,22647,3.4,16445
Smart Fitness Watch,Dell,Speaker,64448,62643,2.8,17878
Gaming Laptop,JBL,Speaker,72903,72334,4.4,17564
Gaming Laptop,JBL,Laptop,43219,39625,4.8,13093
High Resolution Monitor,Samsung,Camera,58746,56374,3,2788
Noise Cancelling Earbuds,HP,Headphones,52728,51576,4.7,10400
Android Tablet,Mi,Camera,48194,47547,3.3,16489
Wireless Bluetooth Headphones,OnePlus,Speaker,6747,3424,3.2,3925
High Resolution Monitor,HP,Camera,5799,1700,2.8,18292
Laptop with SSD Storage,LG,Tablet,39341,36686,1.8,18433
Laptop with SSD Storage,JBL,Monitor,31615,29377,1,14568
4K Action Camera,LG,Smartphone,1599,1119.3,2,12656
High Resolution Monitor,Apple,Tablet,5294,4656,3,9466
4K Action Camera,Boat,Headphones,7789,3267,2.5,3904
High Resolution Monitor,Sony,Smartwatch,32655,31198,2.8,15467
Gaming Laptop,Mi,Monitor,74105,69209,4.9,10419
Wireless Bluetooth Headphones,HP,Smartphone,68667,63895,2.4,16676
Gaming Laptop,JBL,Smartwatch,77655,74215,2.8,10414
Android Tablet,LG,Laptop,2296,1607.2,1.5,12165
Portable Bluetooth Speaker,Dell,Smartwatch,44687,43008,1.2,10683
Smartphone with AMOLED Display,Apple,Monitor,3389,2345,4.1,15442
High Resolution Monitor,Sony,Camera,20959,16111,3.3,4860
Android Tablet,Sony,Monitor,45478,43369,4,3729
Portable Bluetooth Speaker,HP,Tablet,71026,66404,1.6,14400
Smart Fitness Watch,Mi,Smartwatch,70411,67375,3.3,8619
Wireless Bluetooth Headphones,OnePlus,Speaker,34865,34415,2,11164
4K Action Camera,Dell,Smartphone,23184,20279,1.9,6110
4K Action Camera,HP,Smartphone,17499,15225,1,6955
Gaming Laptop,LG,Smartwatch,60338,56876,1.5,106
Laptop with SSD Storage,Boat,Smartphone,58086,57980,2.2,4754
Portable Bluetooth Speaker,Samsung,Speaker,49594,47669,1.5,11525
Smart Fitness Watch,OnePlus,Monitor,78315,73722,4.9,6408
Android Tablet,Mi,Smartphone,34478,30130,2.2,7635
Wireless Bluetooth Headphones,Apple,Smartwatch,12965,9147,1.5,1225
Portable Bluetooth Speaker,OnePlus,Headphones,834,583.8,1.8,12196
Smart Fitness Watch,JBL,Headphones,36432,32085,3.4,4250
Smartphone with AMOLED Display,Mi,Laptop,36410,35007,1.3,15372
High Resolution Monitor,Boat,Tablet,59054,56594,4.4,17279
4K Action Camera,JBL,Smartphone,63880,59519,4.8,12097
Android Tablet,OnePlus,Tablet,22769,20117,2,18004
4K Action Camera,Samsung,Monitor,64316,61332,2.8,12055
Android Tablet,Samsung,Smartwatch,46533,46461,1.1,5419
Gaming Laptop,Boat,Smartphone,67008,64756,3.6,17769
Laptop with SSD Storage,Sony,Camera,58532,57273,2.7,15713
Android Tablet,Dell,Speaker,34709,32363,2.1,11784
4K Action Camera,Apple,Smartphone,19624,18826,1.8,2433
Gaming Laptop,Sony,Smartphone,9038,8184,3.6,10998
Android Tablet,Samsung,Tablet,24354,24171,2.7,11575
Smartphone with AMOLED Display,Samsung,Tablet,30009,25543,1.7,1301
Laptop with SSD Storage,LG,Headphones,663,464.1,3.8,6858
Android Tablet,JBL,Speaker,10658,10175,3.3,8950
Gaming Laptop,OnePlus,Smartwatch,3540,2478,4.4,8938
Portable Bluetooth Speaker,Apple,Smartphone,72501,68715,1.5,5644
Noise Cancelling Earbuds,Boat,Headphones,45989,41900,4.1,11078
Smart Fitness Watch,OnePlus,Tablet,2236,1565.2,3.7,9260
Noise Cancelling Earbuds,LG,Laptop,44265,41298,1.5,14690
Noise Cancelling Earbuds,Samsung,Speaker,77834,77532,3.8,3307
Wireless Bluetooth Headphones,Boat,Headphones,1182,827.4,2.8,16488
Smartphone with AMOLED Display,Samsung,Headphones,20524,19345,4.8,395
Portable Bluetooth Speaker,Apple,Monitor,31125,27811,1.6,19901
High Resolution Monitor,JBL,Headphones,71040,70689,3.6,10845
Android Tablet,OnePlus,Monitor,29185,27158,2.5,3291
Smart Fitness Watch,OnePlus,Smartphone,40356,37543,4.8,18394
Laptop with SSD Storage,Sony,Smartphone,3503,2452.1,2.3,13138
Portable Bluetooth Speaker,Boat,Tablet,60541,57250,4.8,4537
4K Action Camera,Dell,Laptop,2544,1780.8,4.6,9860
High Resolution Monitor,LG,Camera,68919,68319,2.1,17435
Wireless Bluetooth Headphones,Dell,Camera,21884,20247,4.2,19225
Wireless Bluetooth Headphones,Sony,Camera,8821,6949,5,6618
Portable Bluetooth Speaker,Apple,Tablet,50317,47050,2,4723
Gaming Laptop,LG,Monitor,33841,30295,2.7,19968
Noise Cancelling Earbuds,JBL,Tablet,29363,24904,3.1,14837
4K Action Camera,Dell,Speaker,70568,66239,2.2,8539
Wireless Bluetooth Headphones,JBL,Speaker,65252,64490,1.1,1263
Smart Fitness Watch,Dell,Laptop,39863,37638,1.9,13305
Wireless Bluetooth Headphones,JBL,Speaker,40052,35930,2.1,10934
Laptop with SSD Storage,Dell,Camera,2867,2006.9,2.8,10265
Android Tablet,JBL,Camera,16421,13938,1.7,16339
Wireless Bluetooth Headphones,Sony,Tablet,1974,1381.8,4.5,1351
Laptop with SSD Storage,Mi,Headphones,76711,76391,3.8,7190
Portable Bluetooth Speaker,LG,Speaker,66575,64731,1.3,19030
Portable Bluetooth Speaker,Boat,Tablet,67381,62425,,16650
High Resolution Monitor,Apple,Smartphone,29440,26928,3.6,10885
Wireless Bluetooth Headphones,HP,Smartphone,9627,5284,4.8,7434
Smart Fitness Watch,Samsung,Headphones,70963,67519,1,1022
Wireless Bluetooth Headphones,Boat,Headphones,23631,22502,2,2037
Smart Fitness Watch,Samsung,,23304,20376,4.7,8756
Smartphone with AMOLED Display,LG,Tablet,10792,6019,4.7,13558
High Resolution Monitor,Boat,Smartphone,55097,54444,3.9,17443
Smartphone with AMOLED Display,JBL,Camera,58395,56760,4.1,1424
Wireless Bluetooth Headphones,JBL,Headphones,14049,10942,1.4,4123
High Resolution Monitor,HP,Laptop,63517,59482,3.1,16603
Smartphone with AMOLED Display,Samsung,Monitor,9345,,1.9,405
Noise Cancelling Earbuds,Apple,Tablet,20416,18971,1.7,9829
Wireless Bluetooth Headphones,LG,Headphones,18967,15229,4.2,18702
Smartphone with AMOLED Display,JBL,Monitor,75357,74708,1.5,9951
Noise Cancelling Earbuds,Mi,Smartwatch,74505,73942,2.9,8983
Noise Cancelling Earbuds,Sony,Headphones,27602,26486,4.8,17693
Portable Bluetooth Speaker,Sony,Smartphone,11583,8647,1.7,12025
Wireless Bluetooth Headphones,Dell,Speaker,31235,28532,4.9,4929
Noise Cancelling Earbuds,Apple,Headphones,72834,67879,5,9522
Portable Bluetooth Speaker,Sony,Tablet,31924,30786,3.2,12638
Smartphone with AMOLED Display,Dell,Speaker,13740,9305,1.7,8702
Laptop with SSD Storage,Samsung,Smartwatch,46801,41887,2.3,10764
Wireless Bluetooth Headphones,JBL,Laptop,1569,1098.3,2.7,12121
High Resolution Monitor,JBL,Speaker,8168,4149,2.2,14219
Smart Fitness Watch,Mi,Monitor,30551,27217,2.1,1617
Smart Fitness Watch,Boat,Camera,78209,73593,4.9,10248
Smartphone with AMOLED Display,Sony,Headphones,39029,36783,1.6,17904
Gaming Laptop,Samsung,Smartwatch,16034,11801,3.9,1583
Gaming Laptop,OnePlus,Smartwatch,42729,41890,1,6704
Smartphone with AMOLED Display,Sony,Speaker,41637,38112,3.4,7988
Noise Cancelling Earbuds,Apple,Laptop,40625,37422,4.7,17959
Wireless Bluetooth Headphones,Boat,Smartphone,62814,61100,2.2,9953
Smart Fitness Watch,Sony,Headphones,8733,7374,1.7,2613
Smart Fitness Watch,Samsung,Smartwatch,9411,8497,3.6,3892
Noise Cancelling Earbuds,Sony,Laptop,64053,60140,3.9,12336
Smart Fitness Watch,Apple,Camera,73920,70507,3.8,6733
High Resolution Monitor,OnePlus,Smartwatch,22051,18477,2.3,4431
Wireless Bluetooth Headphones,LG,Laptop,16753,12917,2,17765
Android Tablet,HP,Tablet,39268,39195,4.8,3515
Smart Fitness Watch,OnePlus,Smartphone,30377,27324,4.7,4454
Smartphone with AMOLED Display,Dell,Smartphone,35075,34715,2.8,7769
High Resolution Monitor,Sony,Smartwatch,58444,57163,4.4,8384
Smart Fitness Watch,JBL,Monitor,48870,45032,2.8,13727
High Resolution Monitor,Mi,Smartwatch,46397,43636,2.7,3534
Portable Bluetooth Speaker,JBL,Speaker,24803,19952,1.6,755
Android Tablet,OnePlus,Headphones,3079,2608,2.7,18909
4K Action Camera,JBL,Laptop,1055,738.5,3.1,17211
Smartphone with AMOLED Display,Samsung,Smartwatch,39563,35945,1.1,18717
Smartphone with AMOLED Display,JBL,Headphones,55387,54391,2.8,8302
Wireless Bluetooth Headphones,Boat,Speaker,42581,41345,4.1,12907
High Resolution Monitor,LG,Tablet,51782,49898,3.7,8984
Noise Cancelling Earbuds,Sony,Tablet,55157,53543,3.5,14385
Smartphone with AMOLED Display,JBL,Headphones,17700,12706,4.6,7181
High Resolution Monitor,Apple,Smartwatch,40415,38418,1.1,13445
High Resolution Monitor,LG,Smartphone,14549,13191,3.2,12875
Laptop with SSD Storage,LG,Laptop,47125,44089,4.1,3414
Laptop with SSD Storage,JBL,Laptop,24900,24464,3.2,15005
4K Action Camera,LG,Tablet,38006,36795,2.3,9501
Portable Bluetooth Speaker,Mi,Tablet,19522,16214,1.5,14245
4K Action Camera,JBL,Smartphone,41439,36578,4.6,6457
Smart Fitness Watch,Samsung,Monitor,41602,37619,2.9,6749
Noise Cancelling Earbuds,OnePlus,Smartwatch,68459,65562,4.5,296
Smart Fitness Watch,Boat,Tablet,8946,4375,3.3,9821
Gaming Laptop,HP,Tablet,13843,12354,3.7,16952
Smart Fitness Watch,Dell,Tablet,23085,19593,4.2,5283
Wireless Bluetooth Headphones,LG,Laptop,78653,74123,3.6,13119
Smart Fitness Watch,Samsung,Smartwatch,31706,31601,2.6,7664
4K Action Camera,Sony,Speaker,51728,48354,3.1,7511
Smartphone with AMOLED Display,Sony,Smartwatch,24077,23922,4.2,5465
Smartphone with AMOLED Display,Dell,Headphones,58239,54988,2.5,12557
Laptop with SSD Storage,Boat,Smartphone,53326,52607,2.6,4382
Noise Cancelling Earbuds,LG,Monitor,29853,25332,1.4,16449
Noise Cancelling Earbuds,Mi,Tablet,23848,23056,4.7,17263
Wireless Bluetooth Headphones,Dell,Tablet,63521,62505,1.4,9408
4K Action Camera,Boat,Smartwatch,37565,37208,3.6,13690
Laptop with SSD Storage,LG,Monitor,41001,38813,2.7,5069
Gaming Laptop,Samsung,Tablet,51587,48073,2.6,19623
Noise Cancelling Earbuds,OnePlus,Monitor,7027,2080,3.7,11672
Smartphone with AMOLED Display,Mi,Speaker,51017,50858,1.3,16891
Smart Fitness Watch,HP,Camera,32727,29045,3.4,7704
Smart Fitness Watch,Sony,Smartphone,16992,12507,4.1,17509
Laptop with SSD Storage,Apple,Monitor,31925,29960,4.3,17269
4K Action Camera,Samsung,Laptop,25218,20905,1.7,19225
4K Action Camera,Sony,Headphones,41436,40830,4.6,7975
Portable Bluetooth Speaker,JBL,Laptop,52709,52555,3.6,12069
Android Tablet,Apple,Tablet,15877,13780,4.5,6565
Noise Cancelling Earbuds,Sony,Speaker,27989,27794,2.9,4870
4K Action Camera,Boat,Speaker,11454,8641,3.2,18909
Smartphone with AMOLED Display,Mi,Laptop,21641,20718,4.7,9117
Laptop with SSD Storage,Sony,Smartphone,74981,74633,4.6,1938
Gaming Laptop,HP,Laptop,46630,43342,2.8,11554
Portable Bluetooth Speaker,OnePlus,Smartwatch,68716,68021,2.1,3232
High Resolution Monitor,Boat,Tablet,33613,28830,2.6,3465
Wireless Bluetooth Headphones,Samsung,Tablet,47200,44072,2.6,440
Gaming Laptop,Samsung,Laptop,79140,76579,2.1,16845
High Resolution Monitor,Samsung,Headphones,34995,34162,2.1,5413
Smart Fitness Watch,Samsung,Headphones,30525,30105,4.4,11663
Wireless Bluetooth Headphones,OnePlus,Tablet,49456,48920,1.3,5755
Noise Cancelling Earbuds,Sony,Camera,77509,75422,3.7,5012
Smartphone with AMOLED Display,LG,Headphones,28129,24883,1.7,19547
Wireless Bluetooth Headphones,Sony,Laptop,26238,24828,2.4,16126
Android Tablet,JBL,Headphones,59464,55127,1.2,6752
High Resolution Monitor,Mi,Tablet,54830,49955,2.1,5
Noise Cancelling Earbuds,Apple,Smartphone,68499,66188,4.1,4776
Android Tablet,LG,Monitor,60582,57911,4.5,7038
Smart Fitness Watch,LG,Headphones,48101,47095,1.9,6414
Android Tablet,Sony,Smartwatch,9765,9335,2.9,3970
Portable Bluetooth Speaker,LG,Smartphone,3626,2538.2,2.9,11050
Portable Bluetooth Speaker,Dell,Camera,3959,2771.3,4.5,2606
Laptop with SSD Storage,Dell,Smartwatch,60589,60301,4.1,16482
Gaming Laptop,JBL,Laptop,27894,26739,3.1,525
Gaming Laptop,Apple,Monitor,5063,3627,3.7,6337
Noise Cancelling Earbuds,HP,Laptop,11128,8526,4.4,1180
Smart Fitness Watch,OnePlus,Monitor,47888,45589,1,13057
4K Action Camera,Sony,Monitor,11521,9944,2.6,5922
Portable Bluetooth Speaker,OnePlus,Laptop,11511,9794,4.6,3071
Noise Cancelling Earbuds,HP,Smartwatch,13869,9687,4,2792
4K Action Camera,Sony,Smartwatch,38160,35419,3.2,13844
Gaming Laptop,Sony,Monitor,71858,68136,3.1,14
Laptop with SSD Storage,Apple,Smartwatch,45637,43591,2.4,18799
Android Tablet,OnePlus,Monitor,52611,51136,3.1,2685
Portable Bluetooth Speaker,Dell,Tablet,13815,10953,3.6,16212
Noise Cancelling Earbuds,Samsung,Monitor,71995,68698,2.7,9428
Wireless Bluetooth Headphones,OnePlus,Tablet,25204,22562,3.9,8159
4K Action Camera,Mi,Smartphone,60235,58695,4.4,4100
Android Tablet,Mi,Speaker,44090,42816,1.6,6374
Portable Bluetooth Speaker,Sony,Smartphone,68880,66243,2.8,6004
Gaming Laptop,Samsung,Laptop,75448,72334,2.6,5521
Smart Fitness Watch,Boat,Speaker,5936,5054,3.7,11412
4K Action Camera,HP,Headphones,77429,72687,2,11755
Gaming Laptop,JBL,Laptop,3192,702,3.6,19681
Portable Bluetooth Speaker,Samsung,Camera,21972,17127,4.5,19017
4K Action Camera,JBL,Smartphone,6112,4416,2.7,3890
Android Tablet,OnePlus,Smartwatch,954,464,4.6,17175
Portable Bluetooth Speaker,OnePlus,Smartphone,54933,53354,5,9191
High Resolution Monitor,JBL,Smartwatch,17443,14428,1.4,151
Noise Cancelling Earbuds,HP,Speaker,56234,53817,1.9,19447
Android Tablet,Samsung,Camera,67634,64298,4.8,13861
4K Action Camera,Boat,Speaker,29387,24674,4.8,18475
Smart Fitness Watch,Sony,Camera,11918,7537,1.4,15032
Gaming Laptop,Apple,Smartphone,8746,7392,1.1,4599
Wireless Bluetooth Headphones,OnePlus,Smartwatch,49167,46083,1.6,12274
Gaming Laptop,Mi,Speaker,51328,47590,5,12218
4K Action Camera,HP,Camera,60401,56378,1.7,2977
Gaming Laptop,Apple,Monitor,27500,26265,3,17226
Noise Cancelling Earbuds,Boat,Laptop,61765,58453,4.4,3793
Portable Bluetooth Speaker,LG,Laptop,39448,37291,1.1,1659
Wireless Bluetooth Headphones,Sony,Speaker,20998,19108,3.4,5162
Smartphone with AMOLED Display,OnePlus,Smartwatch,42770,38400,2.1,10705
4K Action Camera,Sony,Monitor,51960,49163,4.4,16040
Laptop with SSD Storage,Apple,Speaker,54210,49483,2.1,4270
Smartphone with AMOLED Display,Sony,Smartphone,35750,31436,3.7,13286
Gaming Laptop,LG,Camera,56763,53580,3.7,3603
4K Action Camera,Apple,Tablet,34057,30587,1.9,13772
High Resolution Monitor,OnePlus,Smartphone,78312,76797,1.1,17600
Laptop with SSD Storage,Samsung,Laptop,70547,66388,2.6,2291
Wireless Bluetooth Headphones,Mi,Camera,72315,70054,2.2,13123
Smart Fitness Watch,Apple,Speaker,31690,28836,4.2,3811
High Resolution Monitor,Dell,Smartphone,56416,54823,4.2,13347
Smartphone with AMOLED Display,LG,Headphones,13461,11722,2.8,13851
Portable Bluetooth Speaker,Apple,Tablet,32452,30831,3.4,15513
Noise Cancelling Earbuds,Apple,Smartwatch,21136,16545,3.4,5142
Smart Fitness Watch,Dell,Monitor,66843,63514,4.3,12194
High Resolution Monitor,OnePlus,Monitor,55948,52357,2.7,7526
Portable Bluetooth Speaker,Apple,Smartwatch,26631,21770,2.1,19362
Portable Bluetooth Speaker,Mi,Headphones,11063,7990,2.1,13513
4K Action Camera,Sony,Laptop,69744,68876,3.1,12084
High Resolution Monitor,OnePlus,Camera,19487,14916,2.8,13349
Wireless Bluetooth Headphones,Mi,Smartwatch,12257,11083,2.8,15068
Gaming Laptop,OnePlus,Headphones,4679,3275.3,1.4,4595
Laptop with SSD Storage,Mi,Speaker,28259,27080,3.9,15402
Laptop with SSD Storage,LG,Tablet,27405,25653,1.9,9955
